INPUT:id	INPUT:phrase	INPUT:sentence	INPUT:sense
384	clambered	As for the ride back to camp, our pilot and all the other French-speaking passengers clambered into the chase car.	an awkward climb,climb awkwardly\, as if by scrambling
385	saluting	As we streaked by a blase gendarme, I could n't resist rearing up on my soggy loafers and saluting.	an act of honor or courteous recognition,a formal military gesture of respect,an act of greeting with friendly words and gestures like bowing or lifting the hat,propose a toast to,greet in a friendly way,express commendation of,become noticeable,honor with a military ceremony\, as when honoring dead soldiers,recognize with a gesture prescribed by a military regulation; assume a prescribed position
386	emissions	U.N. group drafts plan to reduce emissions	the act of emitting; causing to flow forth,a substance that is emitted or released,the release of electrons from parent atoms,any of several bodily processes by which substances go out of the body,the occurrence of a flow of water (as from a pipe)
387	text	The text, which could provide the basis for a final political deal to regulate greenhouse gases, highlighted the remaining obstacles as much as it illuminated a path forward.	the words of something written,a passage from the Bible that is used as the subject of a sermon,a book prepared for use in schools or colleges,the main body of a written work (as distinct from illustrations or footnotes etc.)
388	flexibility	It gives a lot of flexibility to the process, said John Coequyt, senior Washington representative for the Sierra Club.	the property of being flexible; easily bent or shaped,the quality of being adaptable or variable,the trait of being easily persuaded
389	document	Michael Zammit Cutajar, who drafted the six-page document, boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official, Yvo de Boer, described as`` the big picture.''	writing that provides information (especially information of an official nature),anything serving as a representation of a person's thinking by means of symbolic marks,a written account of ownership or obligation,(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters,record in detail,support or supply with references
390	countries	Together, the countries would cut emissions between 50 and 95 percent by 2050.	a politically organized body of people under a single government,the territory occupied by a nation,the people who live in a nation or country,an area outside of cities and towns,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
391	flood	The European Union gave the talks a boost as well on Friday by pledging to provide$ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change-- from coping with flood and drought to avoiding deforestation.	the rising of a body of water and its overflowing onto normally dry land,an overwhelming number or amount,light that is a source of artificial illumination having a broad beam; used in photography,a large flow,the act of flooding; filling to overflowing,the occurrence of incoming water (between a low tide and the following high tide);  -Shakespeare,fill quickly beyond capacity; as with a liquid,cover with liquid\, usually water,supply with an excess of,become filled to overflowing
392	emissions	U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world.	the act of emitting; causing to flow forth,a substance that is emitted or released,the release of electrons from parent atoms,any of several bodily processes by which substances go out of the body,the occurrence of a flow of water (as from a pipe)
393	years	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago.	a period of time containing 365 (or 366) days,a period of time occupying a regular part of a calendar year that is used for some particular activity,the period of time that it takes for a planet (as\, e.g.\, Earth or Mars) to make a complete revolution around the sun,a body of students who graduate together
394	week	Stern made his comments an hour after Chinese vice foreign minister He Yafei said America 's top climate negotiator was either lacking`` common sense'' or being`` extremely irresponsible'' for saying earlier in the week that the United States would not help China financially to cope with global warming.	any period of seven consecutive days,hours or days of work in a calendar week,a period of seven consecutive days starting on Sunday
395	world	With the future economic trajectory of the world 's major powers at stake, fault lines have erupted both within the developing world and between the industrial world and emerging economies.	everything that exists anywhere,people in general; especially a distinctive group of people with some shared interest,all of your experiences that determine how things appear to you,the 3rd planet from the sun; the planet we live on,people in general considered as a whole,a part of the earth that can be considered separately,the concerns of this life as distinguished from heaven and the afterlife,all of the living human inhabitants of the earth,involving the entire earth; not limited or provincial in scope
396	world	The current battle is as much about saving individual economies as saving the planet, with China and United States feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action.	everything that exists anywhere,people in general; especially a distinctive group of people with some shared interest,all of your experiences that determine how things appear to you,the 3rd planet from the sun; the planet we live on,people in general considered as a whole,a part of the earth that can be considered separately,the concerns of this life as distinguished from heaven and the afterlife,all of the living human inhabitants of the earth,involving the entire earth; not limited or provincial in scope
397	delegate	Ricardo Ulate, a Costa Rican delegate, said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases, even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions.	a person appointed or elected to represent others,transfer power to someone,give an assignment to (a person) to a post\, or assign a task to (a person)
398	Central America	This is clearly a game where a new economic hegemony is being developed, said Ulate, who also serves as the regional Mexico and Central America climate change adviser for Conservation International.	the isthmus joining North America and South America; extends from the southern border of Mexico to the northern border of Colombia,the nations of Central America collectively
399	morning	The Alliance of Small Island States, which has 43 members, produced a 24-page draft treaty proposal early Friday morning.	the time period between dawn and noon,a conventional expression of greeting or farewell,the first light of day,the earliest period
400	minister	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week.	a person authorized to conduct religious worship,a person appointed to a high office in the government,a diplomat representing one government to another; ranks below ambassador,the job of a head of a government department,attend to the wants and needs of others,work as a minister
401	paper	The sheer sprawl of the gathering-- where 13,000 people move in and out of the convention center each day, guitar-playing activists put on nightly shows mocking the countries they think are selling out, and draft proposals are passed hand-to-hand on paper rather than via e-mail-- poses a challenge.	a material made of cellulose pulp derived mainly from wood or rags or certain grasses,an essay (especially one written as an assignment),a daily or weekly publication on folded sheets; contains news and articles and advertisements,a medium for written communication,a scholarly article describing the results of observations or stating hypotheses,a business firm that publishes newspapers,the physical object that is the product of a newspaper publisher,cover with paper,cover with wallpaper
402	ministers	The intensity is only building: nearly all of the key ministers are now here, and as early as Wednesday 60 heads of government will be in Copenhagen.	a person authorized to conduct religious worship,a person appointed to a high office in the government,a diplomat representing one government to another; ranks below ambassador,the job of a head of a government department,attend to the wants and needs of others,work as a minister
403	policy	We 're getting into the big leagues, said Carlos Manuel Rodriguez, vice president for global policy at Conservation International.	a plan of action adopted by an individual or social group,a line of argument rationalizing the course of action of a government,written contract or certificate of insurance
404	heavyweights	The heavyweights are coming.	an amateur boxer who weighs no more than 201 pounds,a wrestler who weighs more than 214 pounds,a professional boxer who weighs more than 190 pounds,a very large person; impressive in size or qualities,a person of exceptional importance and reputation
405	Israel	Baskonia gives away a victory in Israel	Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine,an ancient kingdom of the Hebrew tribes at the southeastern end of the Mediterranean Sea; founded by Saul around 1025 BC and destroyed by the Assyrians in 721 BC
406	team	Caja Laboral achieved a stunning 82-91 victory on their visit to the Maccabee Electra court despite Dusko Ivanovic 's team 's heavy losses, and after the great performance by Mizra Teltovic, who was the best on his team with eight three-pointers scored( 29 points), they now at the top of their group.	a cooperative unit (especially in sports),two or more draft animals that work together to pull something,form a team
407	absences	The Vitorian team knew to make up for the significant absences of Herrmann, Oleson, Huertas and Micov with a big dose of involvement and teamwork, even though it had to hold out until the end to take the victory.	the state of being absent,failure to be present,the time interval during which something or somebody is away,the occurrence of an abrupt\, transient loss or impairment of consciousness (which is not subsequently remembered)\, sometimes with light twitching\, fluttering eyelids\, etc.; common in petit mal epilepsy
408	sidelines	Additionally, their huge success from the sidelines, with 16 three pointers scored, had a lot to do with the final triumph.	a line that marks the side boundary of a playing field,an auxiliary line of merchandise,an auxiliary activity,remove from the center of activity or attention; place into an inferior position
409	favor	The game started out in favor of the Azulgranas, who put themselves ahead on the scoreboard from the start.	an act of gracious kindness,an advantage to the benefit of someone or something,an inclination to approve,a feeling of favorable regard,souvenir consisting of a small gift given to a guest at a party,promote over another,consider as the favorite,treat gently or carefully,bestow a privilege upon
410	speculation	As Vitora 's first four baskets were from the perimeter, the speculation was already that they had jumped into the Israeli net with hot wrists.	a message expressing an opinion based on incomplete evidence,a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence),an investment that is very risky but could yield great profits,continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
411	disadvantages	More disadvantages	the quality of having an inferior or less favorable position,put at a disadvantage; hinder\, harm
412	period	The Alavas worked themselves to the bone in the last period, and English and San Emeterio( 65-75) had already made it clear that they were not going to let anyone take away what they had earned during the first thirty minutes.	an amount of time,the interval taken to complete one cycle of a regularly repeating phenomenon,(ice hockey) one of three divisions into which play is divided in hockey games,a unit of geological time during which a system of rocks formed,the end or completion of something,the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause; ; --Hippocrates; --Aristotle,a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations
413	team	However, Pnini and Eidson, the best on their team, did not give up and tried to keep their team alive from the three-point line( 70-77).	a cooperative unit (especially in sports),two or more draft animals that work together to pull something,form a team
414	dollar	Wall Street closes without momentum, slowed by a strengthening dollar	the basic monetary unit in many countries; equal to 100 cents,a piece of paper money worth one dollar,a United States coin worth one dollar,a symbol of commercialism or greed
415	technology	According to final closing figures, the Dow Jones Industrial Average has risen by 65.67 points to 10 471.50 points, whereas the NASDAQ, with a technology predominance, fell by 0.55 point to 2 190.31 points.	the practical application of science to commerce or industry,the discipline dealing with the art or science of applying scientific knowledge to practical problems
416	market	Frankly, the market is very calm, observes Mace Blicksilver of Marblehead Asset Management.	the world of commercial activity where goods and services are bought and sold,the customers for a particular product or service,a marketplace where groceries are sold,the securities markets in the aggregate,an area in a town where a public mercantile establishment is set up,engage in the commercial promotion\, sale\, or distribution of,buy household supplies,deal in a market,make commercial
417	opinion	The trend was supported by the publication of better than expected economic indicators, which`` have contributed to improving market opinion in relation to the robustness of the economic recovery'', summarised Charles Schwab 's analysts.	a personal belief or judgment that is not founded on proof or certainty,a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof,a belief or sentiment shared by most people; the voice of the people,the legal document stating the reasons for a judicial decision,the reason for a court's judgment (as opposed to the decision itself),a vague idea in which some confidence is placed
418	row	In the United States, retail sales have increased by 1.3% in November, for the second month in a row, and far more than predicted.	an arrangement of objects or people side by side in a line,an angry dispute,a long continuous strip (usually running horizontally),(construction) a layer of masonry,a linear array of numbers\, letters\, or symbols side by side,a continuous chronological succession without an interruption,the act of rowing as a sport,propel with oars
419	month	Moreover, the confidence of American consumers has clearly bounced back in December, to 73.4 against 67.4 the previous month, according to preliminary estimates from Michigan University 's index.	one of the twelve divisions of the calendar year,a time unit of approximately 30 days
420	sectors	The indices have, however, been slowed by a renewed rise of the dollar, to a new two-month high against the Euro, which`` puts downward pressure on the sectors that are sensitive to the economic situation'', explained Owen Fitzpatrick from Deutsche Bank.	a plane figure bounded by two radii and the included arc of a circle,a social group that forms part of the society or the economy,a particular aspect of life or activity,the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes,a portion of a military position,measuring instrument consisting of two graduated arms hinged at one end
421	securities	Technology securities have thereby lost some ground.	the state of being free from danger or injury,defense against financial failure; financial independence,freedom from anxiety or fear,a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends,property that your creditor can claim in case you default on your obligation,a department responsible for the security of the institution's property and workers,a guarantee that an obligation will be met,an electrical device that sets off an alarm when someone tries to break in,measures taken as a precaution against theft or espionage or sabotage etc.
422	Treasury	Treasury 10-year bond yields have grown to 3.540% against 3.482% on Tuesday evening, and 30-year bond yields are at 4.497% against 4.492% the previous evening.	the funds of a government or institution or individual,the government department responsible for collecting and managing and spending public revenues,negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time,the British cabinet minister responsible for economic strategy,the federal department that collects revenue and administers federal finances; the Treasury Department was created in 1789,a depository (a room or building) where wealth and precious objects can be kept safely
423	infrastructure	Despite concerns about violence and political instability, the Iraqi government managed to attract major oil companies to rebuild its ailing infrastructure during two auctions that concluded Saturday.	the basic structure or features of a system or organization,the stock of basic facilities and capital equipment needed for the functioning of a country or area
424	war	The 10 deals the Iraqi Oil Ministry reached with foreign oil companies suggest that China, Russia and European oil firms are poised to play a major role in refurbishing Iraq 's oil industry, crippled by decades of war and sanctions.	the waging of armed conflict against an enemy,a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply,an active struggle between competing entities,a concerted campaign to end something that is injurious,make or wage war
425	companies	American companies walked away with stakes in just two of the 10 auctioned fields.	an institution created to conduct business,small military unit; usually two or three platoons,the state of being with someone,organization of performers and associated personnel (especially theatrical),a social or business visitor,a social gathering of guests or companions,a band of people associated temporarily in some activity,crew of a ship including the officers; the whole force or personnel of a ship,a unit of firefighters including their equipment,be a companion to somebody
426	companies	Seven American companies had paid to participate in the second auction, which began Friday.	an institution created to conduct business,small military unit; usually two or three platoons,the state of being with someone,organization of performers and associated personnel (especially theatrical),a social or business visitor,a social gathering of guests or companions,a band of people associated temporarily in some activity,crew of a ship including the officers; the whole force or personnel of a ship,a unit of firefighters including their equipment,be a companion to somebody
427	bid	The only one that submitted a bid lost.	an authoritative direction or instruction to do something,an attempt to get something,a formal proposal to buy at a specified price,(bridge) the number of tricks a bridge player is willing to contract to make,propose a payment,invoke upon,ask for or request earnestly,make a demand\, as for a card or a suit or a show of hands,make a serious effort to attain something,ask someone in a friendly way to do something
428	analysts	The meager representation of American oil giants in Iraq 's opening oil industry surprised analysts.	someone who is skilled at analyzing data,an expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions,a licensed practitioner of psychoanalysis
429	U.S.	Iraq finally opened its doors after six years of war, and instead of U.S. companies, you have Asians and Europeans leading the way, said Ruba Husari, the editor of Iraq Oil Forum, an online news outlet.	the executive and legislative and judicial branches of the federal government of the United States,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
430	power	We all know that China is on track to become a major economic as well as technological power, Oil Ministry spokesman Assam Jihad said.	possession of controlling influence,(physics) the rate of doing work; measured in watts (= joules/second),possession of the qualities (especially mental qualities) required to do something or get something done,(of a government or government official) holding an office means being in power,one possessing or exercising power or influence or authority,a mathematical notation indicating the number of times a quantity is multiplied by itself,physical strength,a state powerful enough to influence events throughout the world,a very wealthy or powerful businessman,supply the force or power for the functioning of
431	company	We feel confident that the Chinese company will be on par with its competitors and will deliver on its commitments towards Iraq.	an institution created to conduct business,small military unit; usually two or three platoons,the state of being with someone,organization of performers and associated personnel (especially theatrical),a social or business visitor,a social gathering of guests or companions,a band of people associated temporarily in some activity,crew of a ship including the officers; the whole force or personnel of a ship,a unit of firefighters including their equipment,be a companion to somebody
432	Companies	Companies pre-selected to submit bids made offers that were then compared to the per barrel fee the ministry was willing to pay for boosting output above current levels at each field.	an institution created to conduct business,small military unit; usually two or three platoons,the state of being with someone,organization of performers and associated personnel (especially theatrical),a social or business visitor,a social gathering of guests or companions,a band of people associated temporarily in some activity,crew of a ship including the officers; the whole force or personnel of a ship,a unit of firefighters including their equipment,be a companion to somebody
433	US	The crisis-hit US major banks are breaking free from their state shackles.	North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine,a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons,the 21st letter of the Roman alphabet
434	acceptance	The institutions thereby want to wiggle themselves free from the restrictions going hand-in-hand with the acceptance of the money, such as the limits on manager bonuses and the paying of high charges.	the mental attitude that something is believable and should be accepted as true,the act of accepting with approval; favorable reception,the state of being acceptable and accepted,(contract law) words signifying consent to the terms of an offer (thereby creating a contract),banking: a time draft drawn on and accepted by a bank,a disposition to tolerate or accept people or situations,the act of taking something that is offered
435	loans	Bank of America had raised some USD 19 billion from investors through convertible loans.	the temporary provision of money (usually at interest),a word borrowed from another language; e.g. `blitz' is a German word borrowed into modern English,give temporarily; let have for a limited time
436	amount	The rest of the amount was taken from its own kitty, which was well filled through the sale of business units.	a quantity of money,the relative magnitude of something with reference to a criterion,how much there is or how many there are of something that you can quantify,a quantity obtained by the addition of a group of numbers,be tantamount or equivalent to,add up in number or quantity,develop into
437	investment	The bank overstretched at the height of the financial crisis by taking over the investment bank Merrill Lynch.	the act of investing; laying out money or capital in an enterprise with the expectation of profit,money that is invested with an expectation of profit,the commitment of something other than money (time\, energy\, or effort) to a project with the expectation of some worthwhile result,outer layer or covering of an organ or part or organism,the act of putting on robes or vestments,the ceremonial act of clothing someone in the insignia of an office; the formal promotion of a person to an office or rank
438	liabilities	Citigroup also plans to raise cash on the capital market to free itself from its liabilities with the state.	the state of being legally obliged and responsible,an obligation to pay money to another party,the quality of being something that holds you back
439	Appeal	Cheshire Appeal Will Point to Twitter	earnest or urgent request,attractiveness that interests or pleases or stimulates,(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial,request for a sum of money,take a court case to a higher court for review,request earnestly (something from somebody); ask for aid or protection,be attractive to,challenge (a decision),cite as an authority; resort to
440	appeals	But lawyers for Mr. Hayes have already made court filings that sketch out appeals arguments that are likely to occupy the courts for years.	earnest or urgent request,attractiveness that interests or pleases or stimulates,(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial,request for a sum of money,take a court case to a higher court for review,request earnestly (something from somebody); ask for aid or protection,be attractive to,challenge (a decision),cite as an authority; resort to
441	appeals	The claim could force appeals judges to grapple with the question of whether new technology requires new courtroom rules.	earnest or urgent request,attractiveness that interests or pleases or stimulates,(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial,request for a sum of money,take a court case to a higher court for review,request earnestly (something from somebody); ask for aid or protection,be attractive to,challenge (a decision),cite as an authority; resort to
442	trial	`` As I experienced it during this trial, I think there 's a real danger that the inclusion of new technology in the courtroom is affecting an individual 's fair-trial rights,'' said Thomas J. Ullmann, Mr. Hayes 's chief defense lawyer.	the act of testing something,trying something to find out about it,the act of undergoing testing,(law) the determination of a person's innocence or guilt by due process of law,(sports) a preliminary competition to determine qualifications,an annoying or frustrating or catastrophic event
443	inspiration	The crime is believed by some to have been the inspiration for the television show and the movie`` The Fugitive.''	arousal of the mind to special unusual activity or creativity,a product of your creative thinking and work,a sudden intuition as part of solving a problem,(theology) a special influence of a divinity on the minds of human beings,arousing to a particular emotion or action,the act of inhaling; the drawing in of air (or other gases) as in breathing
444	idea	Professor Donohue said some appeals judges might be intrigued by the idea that limiting instant communication from courtrooms might make trials fairer.	the content of cognition; the main thing you are thinking about,your intention; what you intend to do,a personal view,an approximate calculation of quantity or degree or worth,(music) melodic subject of a musical composition
445	years	The Twitter issue is just one of many outlined by Mr. Hayes 's lawyers that are likely to be argued for years, delaying an execution.	a period of time containing 365 (or 366) days,a period of time occupying a regular part of a calendar year that is used for some particular activity,the period of time that it takes for a planet (as\, e.g.\, Earth or Mars) to make a complete revolution around the sun,a body of students who graduate together
446	victims	Some of the jurors have said they were horrified by the photographs of the victims, Jennifer Hawke-Petit, 48, and her daughters, Hayley, 17, and Michaela, 11.	an unfortunate person who suffers from some adverse circumstance,a person who is tricked or swindled
447	coverage	But their arguments about the effect of the intense coverage of the trial may draw the most interest.	the total amount and type of insurance carried,the extent to which something is covered,the news as presented by reporters for newspapers or radio or television
448	cameras	`` The daily crush of media tweets, cameras and reporters outside the courthouse,'' the lawyers wrote,`` was unlike anything ever seen here in New Haven and maybe statewide.''	equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other),television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam
449	coverage	Their focus on the Twitter coverage is controversial.	the total amount and type of insurance carried,the extent to which something is covered,the news as presented by reporters for newspapers or radio or television
450	news	In interviews, some journalists said the claim that instant news was more incendiary than reports delivered more slowly was a Luddite view that would make poor court policy governing coverage of future trials.	information about recent and important events,information reported in a newspaper or news magazine,a program devoted to current events\, often using interviews and commentary,informal information of any kind that is not previously known to someone,the quality of being sufficiently interesting to be reported in news bulletins
451	arguments	But some lawyers said appeals courts were often attracted to arguments that social and technological changes required adaptation by the courts.	a fact or assertion offered as evidence that something is true,a contentious speech act; a dispute where there is strong disagreement,a discussion in which reasons are advanced for and against some proposition or proposal,a summary of the subject or plot of a literary work or play or movie,(computer science) a reference or value that is passed to a function\, procedure\, subroutine\, command\, or program,a variable in a logical or mathematical expression whose value determines the dependent variable; if f(x)=y\, x is the independent variable,a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process of logical reasoning
452	filing	In their filing, they referred to the Supreme Court 's 1966 decision overturning Dr. Sheppard 's conviction because of the trial coverage and made it clear they would claim that the new media required new rules.	the entering of a legal document into the public record,a fragment rubbed off by the use of a file,the act of using a file (as in shaping or smoothing an object),preservation and methodical arrangement as of documents and papers etc.,record in a public office or in a court of law,smooth with a file,proceed in line,file a formal charge against,place in a container for keeping records
453	century	`` This case,'' they wrote,`` represents the Sheppard v. Maxwell of the 21st century.''	a period of 100 years,ten 10s
454	Sport	Sport and fraud law	an active diversion requiring physical exertion and competition,the occupation of athletes who compete for pay,(Maine colloquial) a temporary summer resident of Maine,a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances,someone who engages in sports,(biology) an organism that has characteristics resulting from chromosomal alteration,verbal wit or mockery (often at another's expense but not to be taken seriously),wear or display in an ostentatious or proud manner,play boisterously
455	sanction	Tricks such as those of Alonso and Ramos before the Ajax demonstrate wittiness but not the will to get remove of a sanction.	formal and explicit approval,a mechanism of social control for enforcing a society's standards,official permission or approval,the act of final authorization,give sanction to,give authority or permission to,give religious sanction to\, such as through on oath
456	expulsion	The expulsion presumably forged by two players of Real Madrid( Xabi Alonso and Sergio Ramos) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not unsportsmanlike and if, both players should be sanctioned by UEFA.	the act of forcing out someone or something,squeezing out by applying pressure,the act of expelling or projecting or ejecting
457	minutes	As we all know, a few minutes before the end of the game( that their team had already won), both players deliberately wasted time which made the referee show the second yellow card to both of them.	a unit of time equal to 60 seconds or 1/60th of an hour,an indefinitely short time,a particular point in time,a unit of angular distance equal to a 60th of a degree,a short note,distance measured by the time taken to cover it,infinitely or immeasurably small,characterized by painstaking care and detailed examination
458	league	This way, and since Real Madrid will finish as leader of its group, both players will fulfil the prescribed sanction during the next game of league, against Auxerre, and will be able to get rid of the cards the following phase.	an association of sports teams that organizes matches for its members,an association of states or organizations or individuals for common action,an obsolete unit of distance of variable length (usually 3 miles),unite to form a league
459	team	Finally, the committee of discipline of the UEFA has sanctioned with two games the trainer of the team, Jose Mourinho, and with different economic amounts the implied players.	a cooperative unit (especially in sports),two or more draft animals that work together to pull something,form a team
460	practice	The provocation of a yellow card in similar circumstances as this one is not a new practice, but rather frequent in the world of football.	a customary way of operation or behavior,systematic training by multiple repetitions,translating an idea into action,the exercise of a profession,knowledge of how something is usually done,carry out or practice; as of jobs and professions,learn by repetition,engage in a rehearsal (of),avail oneself to,engage in or perform
461	sport	It is so extended that it part of the ethos, of the unwritten rules, but followed nonetheless by this sport.	an active diversion requiring physical exertion and competition,the occupation of athletes who compete for pay,(Maine colloquial) a temporary summer resident of Maine,a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances,someone who engages in sports,(biology) an organism that has characteristics resulting from chromosomal alteration,verbal wit or mockery (often at another's expense but not to be taken seriously),wear or display in an ostentatious or proud manner,play boisterously
462	organization	Part of the debate arisen in the related case is caused by the fact that has been carried out by team of the Real Madrid organization( that in its hymn presumes of nobility and honor, and that has fined its players for analogous acts) and by the dramatization orchestrated, apparently, by Mourinho, who adds one more to his expanded history of histrionic and provoking technician.	a group of people who work together,an organized structure for arranging or classifying,the persons (or committees or departments etc.) who make up a body for the purpose of administering something,the act of organizing a business or an activity related to a business,an ordered manner; orderliness by virtue of being methodical and well organized,the activity or result of distributing or disposing persons or things properly or methodically,the act of forming or establishing something
463	regulation	Anyway, the debate deals with if that type of behavior not prohibited specifically by the regulation contradicts the principles of the sport, that is to say, if with these actions fraud is committed; then, indeed, they are respectful actions with the sport regulation, but they seem to elude its sense.	an authoritative rule,a principle or condition that customarily governs behavior,the state of being controlled or governed,(embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered,the act of bringing to uniformity; making regular,the act of controlling or directing according to rule,prescribed by or according to regulation
464	damage	The matter examines the type of damage that is brought to the sporting spirit.	the occurrence of a change for the worse,loss of military equipment,the act of damaging something or someone,the amount of money needed to purchase something,any harm or injury resulting from a violation of a legal right,inflict damage upon,suffer or be susceptible to damage
465	integrity	One of the advantages that include the sport spirit is the physical integrity of the opposite players, aspect that with these actions was n't put into danger, that is to say, there was no violent game.	an undivided or unbroken completeness or totality with nothing wanting,moral soundness
466	advantages	Another of these advantages to which it is alluded to with the fare-play is to avoid that the team of the lawbreaker players takes advantage unjustly of the opposite team, which did not happen either.	the quality of having a superior or more favorable position,(tennis) first point scored after deuce,benefit resulting from some event or action,give an advantage to
467	sanction	They waited for and accepted the sanction with no complaints.	formal and explicit approval,a mechanism of social control for enforcing a society's standards,official permission or approval,the act of final authorization,give sanction to,give authority or permission to,give religious sanction to\, such as through on oath
468	advantage	Another question is what type of advantage the violators obtained in the actions deliberately carried out.	the quality of having a superior or more favorable position,(tennis) first point scored after deuce,benefit resulting from some event or action,give an advantage to
469	players	Here it seems necessary to state that it is n't a disadvantageous situation for rival nor is an obtained benefit in the same game, because evidently the result of the action supposes leaving their own team with less players.	a person who participates in or is skilled at some game,someone who plays a musical instrument (as a profession),a theatrical performer,a person who pursues a number of different social and sexual partners simultaneously,an important participant (as in a business deal)
470	players	And neither is it a useful strategy for the next game, because the club will not be able to count on those players.	a person who participates in or is skilled at some game,someone who plays a musical instrument (as a profession),a theatrical performer,a person who pursues a number of different social and sexual partners simultaneously,an important participant (as in a business deal)
471	suspension	But it is about a long term advantage, with a certain degree of indetermination, because the team can be eliminated first of change, and in addition with this action the players fulfil a sanction game and go to the second cycle of cards, in which the suspension by card accumulation takes place with one less than in the first cycle.	a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy,a time interval during which there is a temporary cessation of something,temporary cessation or suspension,an interruption in the intensity or amount of something,a mechanical system of springs or shock absorbers connecting the wheels and axles to the chassis of a wheeled vehicle,the act of suspending something (hanging it from above so it moves freely),a temporary debarment (from a privilege or position etc)
472	advantage	So that, by passing rounds, it is not so clear that it is an advantage.	the quality of having a superior or more favorable position,(tennis) first point scored after deuce,benefit resulting from some event or action,give an advantage to
473	decisions	Those actions are really against the sporting spirit, which is part of the strategic decisions that favor taking advantages allowed by the rules.	the act of making up your mind about something,a position or opinion or judgment reached after consideration,(boxing) a victory won on points when no knockout has occurred,the outcome of a game or contest,the trait of resoluteness as evidenced by firmness of character or purpose
474	law	Although the border between the wittiness and the law fraud is diffuse, in this occasion I believe it was a clear case of wittiness.	the collection of rules imposed by authority,legal document setting forth rules governing a particular kind of activity,a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society,a generalization that describes recurring facts or events in nature,the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do,the learned profession that is mastered by graduate study in a law school and that is responsible for the judicial system,the force of policemen and officers
475	directive	The controversy seems to arise from two factors: because it was about two auto expulsions and the way the transmission of the directive was carried out to cause them.	a pronouncement encouraging or banning some activity,showing the way by conducting or leading; imposing direction on
476	damage	The damage brought about to the principles of the sport by these actions is not as much ethical as aesthetic.	the occurrence of a change for the worse,loss of military equipment,the act of damaging something or someone,the amount of money needed to purchase something,any harm or injury resulting from a violation of a legal right,inflict damage upon,suffer or be susceptible to damage
477	organism	`` This organism has dual capability.''	a living thing that has (or can develop) the ability to act or function independently,a system considered analogous in structure or function to a living body
