INPUT:id	INPUT:sense	INPUT:phrase	INPUT:sentence	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:started	ASSIGNMENT:submitted
572	"""the classification of someone or something with respect to its worth"",""an amount determined as payable"",""the market value set on assets"",""the act of judging or assessing a person or situation or event"""	Assessment	This document is a summary of the European Public Assessment Report( EPAR).	"""the classification of someone or something with respect to its worth"""				2022-06-08T13:35:37.800	2022-06-08T13:42:13.014
401	"""a material made of cellulose pulp derived mainly from wood or rags or certain grasses"",""an essay (especially one written as an assignment)"",""a daily or weekly publication on folded sheets; contains news and articles and advertisements"",""a medium for written communication"",""a scholarly article describing the results of observations or stating hypotheses"",""a business firm that publishes newspapers"",""the physical object that is the product of a newspaper publisher"",""cover with paper"",""cover with wallpaper"""	paper	The sheer sprawl of the gathering-- where 13,000 people move in and out of the convention center each day, guitar-playing activists put on nightly shows mocking the countries they think are selling out, and draft proposals are passed hand-to-hand on paper rather than via e-mail-- poses a challenge.	"""a daily or weekly publication on folded sheets; contains news and articles and advertisements"""				2022-06-08T13:35:37.800	2022-06-08T13:42:13.014
530	"""the accumulation of knowledge or skill that results from direct participation in events or activities"",""the content of direct observation or participation in an event"",""an event as apprehended"",""go or live through"",""have firsthand knowledge of states\, situations\, emotions\, or sensations"",""go through (mental or physical states or experiences)"",""undergo an emotional sensation or be in a particular state of mind"",""undergo"""	experience	To this is added the Spanish Fury experience in complicated qualifications for Euro Cup and World Cup.	"""go through (mental or physical states or experiences)"""				2022-06-08T13:35:37.800	2022-06-08T13:42:13.014
579	"""a person who requires medical care"",""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause"",""enduring trying circumstances with even temper or characterized by such endurance"""	patients	Alimta is not recommended for use in patients with moderate or severe kidney problems.	"""a person who requires medical care"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
584	"""continue to live through hardship or adversity"",""continue in existence after (an adversity\, etc.)"",""support oneself"",""live longer than"""	survived	In all three studies, the main measure of effectiveness was how long the patients survived.	"""continue in existence after (an adversity, etc.)"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
153	"""recall knowledge from memory; have a recollection"",""keep in mind for attention or consideration"",""recapture the past; indulge in memories"",""show appreciation to"",""mention favorably\, as in prayer"",""mention as by way of greeting or to indicate friendship"",""exercise\, or have the power of\, memory"",""call to remembrance; keep alive the memory of someone or something\, as in a ceremony"""	remembered	But, of course, he remembered now.	"""recall knowledge from memory; have a recollection"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
618	"""a series of steps to be carried out or goals to be accomplished"",""a system of projects or services intended to meet a public need"",""a radio or television show"",""a document stating the aims and principles of a political party"",""an announcement of the events that will occur as part of a theatrical or sporting event"",""an integrated course of academic studies"",""(computer science) a sequence of instructions that a computer can interpret and execute"",""a performance (or series of performances) at a public presentation"",""arrange a program of or for"",""write a computer program"""	program	Shuts the program down.	"""(computer science) a sequence of instructions that a computer can interpret and execute"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
520	"""the quality of being just or fair"",""judgment involved in the determination of rights and the assignment of rewards and punishments"",""a public official authorized to decide questions brought before a court of justice"",""the United States federal department responsible for enforcing federal laws (including the enforcement of all civil rights legislation); created in 1870"""	justices	In fact, justices are exempt from the Code of Conduct that governs the actions of lower federal justices.	"""a public official authorized to decide questions brought before a court of justice"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
515	"""the collection of rules imposed by authority"",""legal document setting forth rules governing a particular kind of activity"",""a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society"",""a generalization that describes recurring facts or events in nature"",""the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do"",""the learned profession that is mastered by graduate study in a law school and that is responsible for the judicial system"",""the force of policemen and officers"""	law	Another firm that sponsored the dinner, Jones Day, represents one of the trade associations that challenged the law, the National Federation of Independent Business.	"""a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
542	"""a position on a scale of intensity or amount or quality"",""a specific identifiable position in a continuum or series or especially in a process"",""an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study"",""a measure for arcs and angles"",""the highest power of a term or variable"",""a unit of temperature on a specified scale"",""the seriousness of something (e.g.\, a burn or crime)"""	degree	The only difference, the degree of generosity	"""a position on a scale of intensity or amount or quality"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
375	"""a motor vehicle with four wheels; usually propelled by an internal combustion engine"",""a wheeled vehicle adapted to the rails of railroad"",""the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant"",""where passengers ride up and down"",""a conveyance for passengers or freight on a cable railway"""	car	Which makes the chase car necessary.	"""a motor vehicle with four wheels; usually propelled by an internal combustion engine"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
592	"""a visual representation of the relations between certain quantities plotted with reference to a set of axes"",""represent by means of a graph"",""plot upon a graph"""	graph	kalgebra is a MathML based graph calculator.	"""a visual representation of the relations between certain quantities plotted with reference to a set of axes"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
45	"""something regarded as a normative example"",""conforming with or constituting a norm or standard or level or type or social norm; not abnormal"",""in accordance with scientific laws"",""being approximately average or within certain limits in e.g. intelligence and development"",""forming a right angle"""	normal	Oncogenes must be present for a cell to become malignant, but researchers have found them in normal as well as in cancerous cells, suggesting that oncogenes do n't cause cancer by themselves.	"""something regarded as a normative example"""				2022-06-08T13:35:38.368	2022-06-08T13:38:33.074
332	"""a quantity that is added"",""a change resulting in an increase"",""a process of becoming larger or longer or more numerous or more important"",""the amount by which something increases"",""the act of increasing something"",""become bigger or greater in amount"",""make bigger or more"""	increase	I would predict that within a short time most of them would find Thunderbird a satisfactory substitute for Chivas Regal and that their`` normal`` phobias, anxieties, depressions and substance abuse would increase dramatically.	"""become bigger or greater in amount"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
514	"""the main meal of the day served in the evening or at midday"",""a party of people assembled to have dinner together"""	dinner	Clement 's law firm, Bancroft PLLC, was one of almost two dozen firms that helped sponsor the annual dinner of the Federalist Society, a longstanding group dedicated to advocating conservative legal principles.	"""a party of people assembled to have dinner together"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
618	"""a series of steps to be carried out or goals to be accomplished"",""a system of projects or services intended to meet a public need"",""a radio or television show"",""a document stating the aims and principles of a political party"",""an announcement of the events that will occur as part of a theatrical or sporting event"",""an integrated course of academic studies"",""(computer science) a sequence of instructions that a computer can interpret and execute"",""a performance (or series of performances) at a public presentation"",""arrange a program of or for"",""write a computer program"""	program	Shuts the program down.	"""a system of projects or services intended to meet a public need"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
636	"""a way of regarding situations or topics etc."",""the appearance of things relative to one another as determined by their distance from the viewer"""	perspectives	The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.	"""a way of regarding situations or topics etc."""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
112	"""the act of forming or establishing something"",""an organization founded and united for a specific purpose"",""the persons (or committees or departments etc.) who make up a body for the purpose of administering something"",""a public or private structure (business or governmental or educational) including buildings and equipment for business or residence"",""any large organization"",""(ecology) the process by which a plant or animal becomes established in a new habitat"",""the cognitive process of establishing a valid proof"""	establishment	But it is unfair to dump on teachers, as distinct from the educational establishment.	"""an organization founded and united for a specific purpose"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
153	"""recall knowledge from memory; have a recollection"",""keep in mind for attention or consideration"",""recapture the past; indulge in memories"",""show appreciation to"",""mention favorably\, as in prayer"",""mention as by way of greeting or to indicate friendship"",""exercise\, or have the power of\, memory"",""call to remembrance; keep alive the memory of someone or something\, as in a ceremony"""	remembered	But, of course, he remembered now.	"""recall knowledge from memory; have a recollection"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
288	"""the process of combustion of inflammable materials producing heat and light and (often) smoke"",""shine with a sudden light"",""be in flames or aflame"",""criticize harshly\, usually via an electronic medium"""	flames	I could see the flames from San Francisco from my house across the bay.	"""the process of combustion of inflammable materials producing heat and light and (often) smoke"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
592	"""a visual representation of the relations between certain quantities plotted with reference to a set of axes"",""represent by means of a graph"",""plot upon a graph"""	graph	kalgebra is a MathML based graph calculator.	"""a visual representation of the relations between certain quantities plotted with reference to a set of axes"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
572	"""the classification of someone or something with respect to its worth"",""an amount determined as payable"",""the market value set on assets"",""the act of judging or assessing a person or situation or event"""	Assessment	This document is a summary of the European Public Assessment Report( EPAR).	"""the classification of someone or something with respect to its worth"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
40	"""the time yet to come"",""a verb tense that expresses actions or states in the future"",""bulk commodities bought or sold at an agreed price for delivery at a specified future date"",""yet to be or coming"",""effective in or looking toward the future"",""(of elected officers) elected but not yet serving"",""a verb tense or other formation referring to events or states that have not yet happened"""	future	That is for the future.	"""the time yet to come"""				2022-06-08T13:35:40.745	2022-06-08T13:39:08.693
579	"""a person who requires medical care"",""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause"",""enduring trying circumstances with even temper or characterized by such endurance"""	patients	Alimta is not recommended for use in patients with moderate or severe kidney problems.	"""a person who requires medical care"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
283	"""a strong hard building material composed of sand and gravel and cement and water"",""cover with cement"",""form into a solid mass; coalesce"",""capable of being perceived by the senses; not abstract or imaginary"",""formed by the coalescence of particles"""	concrete	Many hairline cracks in the concrete slabs afterwards.	"""a strong hard building material composed of sand and gravel and cement and water"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
466	"""the quality of having a superior or more favorable position"",""(tennis) first point scored after deuce"",""benefit resulting from some event or action"",""give an advantage to"""	advantages	Another of these advantages to which it is alluded to with the fare-play is to avoid that the team of the lawbreaker players takes advantage unjustly of the opposite team, which did not happen either.	"""benefit resulting from some event or action"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
132	"""the act of sharing in the activities of a group"",""a connection of inclusion or containment"",""a sense of concern with and curiosity about someone or something"",""a usually secretive or illicit sexual relationship"",""the condition of sharing in common with others (as fellows or partners etc.)"""	involvement	--`` Community involvement`` is an even worse idea.	"""the act of sharing in the activities of a group"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
347	"""the difference between the market value of a property and the claims held against it"",""the ownership interest of shareholders in a corporation"",""conformity with rules or standards"""	equity	If you were especially helpful in a corrupt scheme you received not just cash in a bag, but equity.	"""the ownership interest of shareholders in a corporation"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
443	"""arousal of the mind to special unusual activity or creativity"",""a product of your creative thinking and work"",""a sudden intuition as part of solving a problem"",""(theology) a special influence of a divinity on the minds of human beings"",""arousing to a particular emotion or action"",""the act of inhaling; the drawing in of air (or other gases) as in breathing"""	inspiration	The crime is believed by some to have been the inspiration for the television show and the movie`` The Fugitive.''	"""arousal of the mind to special unusual activity or creativity"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
233	"""a period of 10 years"",""the cardinal number that is the sum of nine and one; the base of the decimal system"""	decades	What accounts for the results of recent decades?	"""a period of 10 years"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
104	"""the trait of sincere and steadfast fixity of purpose"",""the act of binding yourself (intellectually or emotionally) to a course of action"",""an engagement by contract involving financial obligation"",""a message that makes a pledge"",""the official act of consigning a person to confinement (as in a prison or mental hospital)"""	commitment	Their commitment to`` creativity`` can not survive adolescent illiteracy.	"""the act of binding yourself (intellectually or emotionally) to a course of action"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
393	"""a period of time containing 365 (or 366) days"",""a period of time occupying a regular part of a calendar year that is used for some particular activity"",""the period of time that it takes for a planet (as\, e.g.\, Earth or Mars) to make a complete revolution around the sun"",""a body of students who graduate together"""	years	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago.	"""a period of time containing 365 (or 366) days"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
610	"""something that is likely to vary; something that is subject to variation"",""a quantity that can assume any of a set of values"",""a star that varies noticeably in brightness"",""a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity"",""liable to or capable of change"",""marked by diversity or difference"",""(used of a device) designed so that a property (as e.g. light) can be varied"""	variable	Every time you enter an expression, the ans variable value will be changed to the last result.	"""something that is likely to vary; something that is subject to variation"""				2022-06-08T13:35:40.403	2022-06-08T13:40:59.283
486	"""manner of acting or controlling yourself"",""the action or reaction of something (as a machine or substance) under specified circumstances"",""(behavioral attributes) the way a person behaves toward other people"",""(psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"""	behavior	`` Arsenic is toxic mainly because its chemical behavior is so similar to that of phosphorus.''	"""the action or reaction of something (as a machine or substance) under specified circumstances"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
463	"""an authoritative rule"",""a principle or condition that customarily governs behavior"",""the state of being controlled or governed"",""(embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered"",""the act of bringing to uniformity; making regular"",""the act of controlling or directing according to rule"",""prescribed by or according to regulation"""	regulation	Anyway, the debate deals with if that type of behavior not prohibited specifically by the regulation contradicts the principles of the sport, that is to say, if with these actions fraud is committed; then, indeed, they are respectful actions with the sport regulation, but they seem to elude its sense.	"""an authoritative rule"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
542	"""a position on a scale of intensity or amount or quality"",""a specific identifiable position in a continuum or series or especially in a process"",""an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study"",""a measure for arcs and angles"",""the highest power of a term or variable"",""a unit of temperature on a specified scale"",""the seriousness of something (e.g.\, a burn or crime)"""	degree	The only difference, the degree of generosity	"""the seriousness of something (e.g., a burn or crime)"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
235	"""a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena"",""a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"",""a belief that can guide behavior"""	theory	The theory relies on three assumptions:	"""a belief that can guide behavior"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
45	"""something regarded as a normative example"",""conforming with or constituting a norm or standard or level or type or social norm; not abnormal"",""in accordance with scientific laws"",""being approximately average or within certain limits in e.g. intelligence and development"",""forming a right angle"""	normal	Oncogenes must be present for a cell to become malignant, but researchers have found them in normal as well as in cancerous cells, suggesting that oncogenes do n't cause cancer by themselves.	"""conforming with or constituting a norm or standard or level or type or social norm; not abnormal"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
572	"""the classification of someone or something with respect to its worth"",""an amount determined as payable"",""the market value set on assets"",""the act of judging or assessing a person or situation or event"""	Assessment	This document is a summary of the European Public Assessment Report( EPAR).	"""the classification of someone or something with respect to its worth"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
534	"""the state of being present; current existence"",""the immediate proximity of someone or something"",""an invisible spiritual being felt to be nearby"",""the impression that something is present"",""dignified manner or conduct"",""the act of being present"""	presences	On the national side, with less than 30 presences, there are Roy Miller with 26, Winston Parks with 26, Gabriel Badilla with 25 and Roy Myrie with 23.	"""the state of being present; current existence"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
35	"""a heavy rain"",""a violently fast stream of water (or other liquid)"",""an overwhelming number or amount"""	torrent	In the torrent of replies that followed, one woman ringer from Solihull observed that`` the average male ringer leaves quite a lot to be desired: badly dressed, decorated with acne and a large beer-belly, frequently unwashed and unbearably flatulent in peals.``	"""an overwhelming number or amount"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
528	"""a city in western California located at the southern end of San Francisco Bay to the south of San Francisco; a center for computer and electronics industries"",""the capital and largest city of Costa Rica"""	San Jose	A minor contrast to Costa Rica, comparing the 22 players called by both countries for the friendly game today, at 3:05 pm at the National Stadium in San Jose.	"""the capital and largest city of Costa Rica"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
318	"""the state of needing something that is absent or unavailable"",""be without"""	lack	Homeless people not only lack safety, privacy and shelter, they also lack the elementary necessities of nutrition, cleanliness and basic health care.	"""the state of needing something that is absent or unavailable"""				2022-06-08T13:35:42.676	2022-06-08T13:40:58.545
254	"""a short newspaper article about a particular person or group"",""concerning or affecting a particular person or his or her private life and personality"",""particular to a given individual"",""of or arising from personality"",""intimately concerning a person's body or physical being"",""indicating grammatical person"""	personal	First, economists James Bennett and Thomas DiLorenzo find that GOP senators turn back roughly 10% more of their allocated personal staff budgets than Democrats do.	"""intimately concerning a person's body or physical being"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
443	"""arousal of the mind to special unusual activity or creativity"",""a product of your creative thinking and work"",""a sudden intuition as part of solving a problem"",""(theology) a special influence of a divinity on the minds of human beings"",""arousing to a particular emotion or action"",""the act of inhaling; the drawing in of air (or other gases) as in breathing"""	inspiration	The crime is believed by some to have been the inspiration for the television show and the movie`` The Fugitive.''	"""arousal of the mind to special unusual activity or creativity"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
579	"""a person who requires medical care"",""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause"",""enduring trying circumstances with even temper or characterized by such endurance"""	patients	Alimta is not recommended for use in patients with moderate or severe kidney problems.	"""a person who requires medical care"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
375	"""a motor vehicle with four wheels; usually propelled by an internal combustion engine"",""a wheeled vehicle adapted to the rails of railroad"",""the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant"",""where passengers ride up and down"",""a conveyance for passengers or freight on a cable railway"""	car	Which makes the chase car necessary.	"""a motor vehicle with four wheels; usually propelled by an internal combustion engine"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
200	"""not the same one or ones already mentioned or implied; - the White Queen"",""recently past"",""belonging to the distant past"",""very unusual; different in character or quality from the normal or expected; - Lance Morrow"""	other	He began to wish that he had n't shouted that other evening when the truck bore down through the crossing.	"""not the same one or ones already mentioned or implied; - the White Queen"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
236	"""someone who waits on or tends to or attends to the needs of another"",""a person who is present and participates in a meeting"",""an event or situation that happens at the same time as or in connection with another"",""being present (at meeting or event etc.)"",""following or accompanying as a consequence"""	attendant	1-RRB- Voters can`` buy`` one of two brands when they select their political agents-- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action, and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest.	"""following or accompanying as a consequence"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
93	"""the content of cognition; the main thing you are thinking about"",""your intention; what you intend to do"",""a personal view"",""an approximate calculation of quantity or degree or worth"",""(music) melodic subject of a musical composition"""	idea	The idea would be to administer to patients the growth-controlling proteins made by healthy versions of the damaged genes.	"""the content of cognition; the main thing you are thinking about"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
618	"""a series of steps to be carried out or goals to be accomplished"",""a system of projects or services intended to meet a public need"",""a radio or television show"",""a document stating the aims and principles of a political party"",""an announcement of the events that will occur as part of a theatrical or sporting event"",""an integrated course of academic studies"",""(computer science) a sequence of instructions that a computer can interpret and execute"",""a performance (or series of performances) at a public presentation"",""arrange a program of or for"",""write a computer program"""	program	Shuts the program down.	"""(computer science) a sequence of instructions that a computer can interpret and execute"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
104	"""the trait of sincere and steadfast fixity of purpose"",""the act of binding yourself (intellectually or emotionally) to a course of action"",""an engagement by contract involving financial obligation"",""a message that makes a pledge"",""the official act of consigning a person to confinement (as in a prison or mental hospital)"""	commitment	Their commitment to`` creativity`` can not survive adolescent illiteracy.	"""the act of binding yourself (intellectually or emotionally) to a course of action"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
407	"""the state of being absent"",""failure to be present"",""the time interval during which something or somebody is away"",""the occurrence of an abrupt\, transient loss or impairment of consciousness (which is not subsequently remembered)\, sometimes with light twitching\, fluttering eyelids\, etc.; common in petit mal epilepsy"""	absences	The Vitorian team knew to make up for the significant absences of Herrmann, Oleson, Huertas and Micov with a big dose of involvement and teamwork, even though it had to hold out until the end to take the victory.	"""failure to be present"""				2022-06-08T13:35:43.675	2022-06-08T13:42:18.311
468	"""the quality of having a superior or more favorable position"",""(tennis) first point scored after deuce"",""benefit resulting from some event or action"",""give an advantage to"""	advantage	Another question is what type of advantage the violators obtained in the actions deliberately carried out.	"""benefit resulting from some event or action"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
139	"""be larger in number\, quantity\, power\, status or importance"",""be valid\, applicable\, or true"",""continue to exist"",""prove superior"",""use persuasion successfully"""	prevailed	No student should be permitted to be graduated from elementary school without having mastered the 3 R 's at the level that prevailed 20 years ago.	"""prove superior"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
116	"""a general conscious awareness"",""the meaning of a word or expression; the way in which a word or expression or situation can be interpreted"",""the faculty through which the external world is apprehended"",""sound practical judgment"",""a natural appreciation or ability"",""perceive by a physical sensation\, e.g.\, coming from the skin or muscles"",""detect some circumstance or entity automatically"",""become aware of not through the senses but instinctively"",""comprehend"""	sense	In this sense, a teacher can be compared to one 's family doctor.	"""the meaning of a word or expression; the way in which a word or expression or situation can be interpreted"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
636	"""a way of regarding situations or topics etc."",""the appearance of things relative to one another as determined by their distance from the viewer"""	perspectives	The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.	"""a way of regarding situations or topics etc."""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
520	"""the quality of being just or fair"",""judgment involved in the determination of rights and the assignment of rewards and punishments"",""a public official authorized to decide questions brought before a court of justice"",""the United States federal department responsible for enforcing federal laws (including the enforcement of all civil rights legislation); created in 1870"""	justices	In fact, justices are exempt from the Code of Conduct that governs the actions of lower federal justices.	"""a public official authorized to decide questions brought before a court of justice"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
33	"""an adult female person (as opposed to a man)"",""a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man"",""a human female employed to do housework"",""women as a class"""	women	The oldest bell-ringing group in the country, the Ancient Society of College Youths, founded in 1637, remains male-only, a fact that 's particularly galling to women because the group is the sole source of ringers for Britain 's most prestigious churches, St. Paul 's Cathedral and Westminster Abbey.	"""women as a class"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
486	"""manner of acting or controlling yourself"",""the action or reaction of something (as a machine or substance) under specified circumstances"",""(behavioral attributes) the way a person behaves toward other people"",""(psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"""	behavior	`` Arsenic is toxic mainly because its chemical behavior is so similar to that of phosphorus.''	"""manner of acting or controlling yourself"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
355	"""a prominent attribute or aspect of something"",""a distinguishing quality"",""the integer part (positive or negative) of the representation of a logarithm; in the expression log 643 = 2.808 the characteristic is 2"",""any measurable property of a device measured under closely specified conditions"",""typical or distinctive"""	characteristics	Numerous other scandals, among them the ones at HUD, have the same characteristics as Wedtech.	"""a distinguishing quality"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
572	"""the classification of someone or something with respect to its worth"",""an amount determined as payable"",""the market value set on assets"",""the act of judging or assessing a person or situation or event"""	Assessment	This document is a summary of the European Public Assessment Report( EPAR).	"""the act of judging or assessing a person or situation or event"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
125	"""something that interests you because it is important or affects you"",""an anxious feeling"",""a feeling of sympathy for someone or something"",""something or someone that causes anxiety; a source of unhappiness"",""a commercial or industrial enterprise and the people who constitute it"",""be relevant to"",""be on the mind of"""	concerned	In this respect, it would be helpful if our political leaders were mute, rather than eloquently`` concerned.``	"""be on the mind of"""				2022-06-08T13:35:43.905	2022-06-08T13:41:05.375
4	"""not the same one or ones already mentioned or implied; - the White Queen"",""recently past"",""belonging to the distant past"",""very unusual; different in character or quality from the normal or expected; - Lance Morrow"""	other	Like most of the other 6,000 churches in Britain with sets of bells, St. Michael once had its own`` band`` of ringers, who would herald every Sunday morning and evening service.	"""not the same one or ones already mentioned or implied; - the White Queen"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
566	"""something (such as money) given or received as payment or reparation (as for a service or loss or injury)"",""(psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors"",""the act of compensating for service or loss or injury"""	compensation	The NCUA is fighting for compensation for losses that run into the billions.	"""something (such as money) given or received as payment or reparation (as for a service or loss or injury)"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
235	"""a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena"",""a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"",""a belief that can guide behavior"""	theory	The theory relies on three assumptions:	"""a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
530	"""the accumulation of knowledge or skill that results from direct participation in events or activities"",""the content of direct observation or participation in an event"",""an event as apprehended"",""go or live through"",""have firsthand knowledge of states\, situations\, emotions\, or sensations"",""go through (mental or physical states or experiences)"",""undergo an emotional sensation or be in a particular state of mind"",""undergo"""	experience	To this is added the Spanish Fury experience in complicated qualifications for Euro Cup and World Cup.	"""the accumulation of knowledge or skill that results from direct participation in events or activities"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
579	"""a person who requires medical care"",""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause"",""enduring trying circumstances with even temper or characterized by such endurance"""	patients	Alimta is not recommended for use in patients with moderate or severe kidney problems.	"""a person who requires medical care"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
589	"""a state of surviving; remaining alive"",""a natural process resulting in the evolution of organisms best adapted to the environment"",""something that survives"""	survival	In contrast, patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta.	"""a state of surviving; remaining alive"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
619	"""(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)"",""what something is used for"",""the actions and activities assigned to or required or expected of a person or group"",""a relation such that one thing is dependent on another"",""a formal or official social gathering or ceremony"",""a vaguely specified social event"",""a set sequence of steps\, part of larger computer program"",""perform as expected when applied"",""serve a purpose\, role\, or function"",""perform duties attached to a particular office or place or function"""	function	Then your focus will go to an input text box where you can type your function.	"""(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
153	"""recall knowledge from memory; have a recollection"",""keep in mind for attention or consideration"",""recapture the past; indulge in memories"",""show appreciation to"",""mention favorably\, as in prayer"",""mention as by way of greeting or to indicate friendship"",""exercise\, or have the power of\, memory"",""call to remembrance; keep alive the memory of someone or something\, as in a ceremony"""	remembered	But, of course, he remembered now.	"""recall knowledge from memory; have a recollection"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
626	"""the actions and activities assigned to or required or expected of a person or group"",""an actor's portrayal of someone in a play"",""what something is used for"",""normal or customary activity of a person in a particular social setting"""	roles	Note was also taken of the variety of different roles played by public welfare	"""normal or customary activity of a person in a particular social setting"""				2022-06-08T13:35:44.504	2022-06-08T13:42:46.267
